Title,Date Issued,Date,Spatial Coverage,Extent,Provenance,Coverage,Publisher,Subject,Contributor,Creator,Description,File,Identifier,Rights,Source
[Untitled advertisement],1790-08-27,1790-08-16,"Chowan County, NC",Edenton,Virginia,New Bern,State Gazette of North Carolina,Sal,William Gregory,William Gregory,"RUN AWAY, about the 16th inst. a Negro Wench named SAL, about twenty years of age, but appears younger, sizeable and handsome, pert and sensible. It is supposed she has gone off with a light-complexioned negro fellow, much pock-marked, who says he is free, and was call away some short time since near Cape-Hatteras, in the sloop commanded by Capt. Snell.--It is probable they have gone towards Virginia, and will endeavour to get off farther northward. Whoever will secure said wench so that she may be had again, shall receive FIVE POUNDS reward, and TEN POUNDS if delivered at Edenton, together with said fellow, and all necessary and reasonable charges. WILLIAM GREGORY. Edenton, August 26, 1790.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1680.jpg,1680,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1680
Eight dollars reward,1793-03-06,1793-02,"Cumberland County, NC",Fayetteville,"Roanoke, NC",Halifax,North Carolina Journal,Harper,James Porterfield,James Doggett,"Eight Dollars Reward. RUNAWAY from the subscriber, early in last month, a Negro Man, named HARPER, yellow complexion, nearly or quite six foot high, very well made and active, about 25 years old, speaks good English, and for a negro is sensible.  He was bred somewhere about Mosely's ferry on Roanoke, and formerly belonged to a person by the name of Mosely, in that neighborhood--negroes of his acquaintance say his mother lives thereabouts, and that he told them he was going to see her.  About three years ago he belonged to Mr. Benjamin Smith of Wake, of whom I bought him.  The above reward shall be given to any person who will secure him in gaol or otherwise so that I can get him, and if brought to Fayetteville all reasonable charges shall be paid. JAMES PORTERFIELD. Fayetteville, March 1.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_835.jpg,835,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/835
Twenty dollars reward,1793-03-30,1793-03,"Chowan County, NC",Edenton,"Perquimans County, NC",Edenton,State Gazette of North Carolina,Isaac,Stephen Cabarrus,Stephen Cabarrus,"TWENTY DOLLARS REWARD, WILL be given, for taking up and delivering to me, or securing so that I get him again, a NEGRO MAN, named ISAAC, who ran away about fifteen days past.  He is about five feet nine inches high, well made and twenty five years of age. He took with him a short blue coat and breeches, and I have reason to believe that he is lurking in Perquimans county, where I understand he has lately taken a wife. He left me without any cause whatever for absenting himself.  I trust that no master of a vessel will carry him away, and I shall be under the necessity of prosecuting him to the utmost vigour of the law. STEPHEN CABARRUS. Edenton, March 20, 1793.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_956.jpg,956,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/956
Six dollars reward,1794-01-25,1794-01-10,"Cumberland County, NC",Fayetteville,"New Bern, NC",New Bern,"North Carolina Gazette, or Impartial Intelligencer, and Weekly General Advertiser",Ned,Lauchlin M'Coy,Lauchlin M'Coy,"SIX DOLLARS REWARD. RAN away from the subscriber, on the 10th inst. in Fayetteville, a negro fellow, named NED about twenty years old, five feet six or seven inches high. He had on when he went away, brown woollen clothes. He has a lump on one of his hands which is very remarkable. The above reward will be paid to any person who will secure him in any jail, so that the subscriber gets him again. LAUCHLIN M'COY. I am informated that he passes by the name of BEN; and has been seen on Newbern road.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1775.jpg,1775,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1775
Five dollars reward,1795-08-17,1795-08-04,"Halifax County, NC",Halifax,"Edenton, NC",Halifax,North Carolina Journal,Harry,Rhodeham Rawlings,Rhodeham Rawlings,"FIVE DOLLARS REWARD. RUNAWAY from the subscriber on the 4th inst. a Negro Fellow, named HARRY.  He was lately purchased of Mr. Thad Barnes and formerly belonged to Messrs. J. & R. Kay, who purchased him in Edenton, where it is supposed he will attempt to get.  He is about five feet eight inches high, well made and active, dark complexion, high cheek-bones.  Had on an ozneburges[sic] shirt and overalls. Any person delivering him to me near Halifax town or securing him in any gaol of the state, shall receive the above Reward.  All persons are forewarned from harbouring or carrying off said negro at their peril RHODEHAM RAWLINGS N.B. If he returns of his own accord, he will be forgiven. Halifax, August 6   60 3",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1249.jpg,1249,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1249
Ten dollars reward,1795-12-21,1795-12-13,"Halifax County, NC",Mush Island ,Georgia,Halifax,North Carolina Journal,Duke,William Perkins,William Perkins,"TEN DOLLARS REWARD. RAN away from the subscriber on the 13th instant, a Negro man named DUKE, about 27 years of age, five feet 10 or 11 inches high, black complected, large, well set, and very bow legged.  He is very sensible, can read and write, and most probably has procured a forged pass ; he carried with him a negro cotton great coat, the balance of his clothes are unknown.  I expect this fellow intends for Georgia-- Whoever takes him up and secures him in jail so that I get him again shall receive the above reward, and if brought home all reasonable expenses. WILLIAM PERKINS. Mush-Island, Halifax county, December 21, 1795",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1916.jpg,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1916
Five pounds reward,1796-02-13,1796-01-02,"Craven County, NC",New Bern,"Wayne County, NC",New Bern,"North Carolina Gazette, or Impartial Intelligencer, and Weekly General Advertiser",Mingo,John Hobday,John Hobday,"FIVE POUNDS REWARD. RAN-AWAY from the subscriber in Newbern, on the 2d. day of January last, a negro man named MINGO, about the age of twenty five years, of a brown complexion. He had on when he went away a light blue coat and trousers, of a middle stature. He is supposed to be lurking about Wayne County, as he was formerly the property of Squire Alford. Whoever apprehends the said negro and deliver him in Newbern goal, or to the subscriber, shall be entitled to the above reward.  JOHN HOBDAY. Newbern Feb. 7. N.B. All persons are forwarned from harbouring or concealing him, and masters of vessels from carrying him away at their peril. J. H.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1260.jpg,1260,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1260
Ten dollars reward,1796-07-11,1796-04-16,"Cumberland County, NC",Fayetteville,Virginia,Halifax,North Carolina Journal,Jim,John Dickson,John Dickson,"TEN DOLLARS REWARD. RAN AWAY from the subscriber, on the 12th of March last, a mulatto fellow named JIM, about twenty five years of age, stout and well made, has very large feet, speaks plain: It is supposed, he has made towards Virginia, where he expects to be free.  He has been in Tarborough jail, and broke from thence on the 16th of April last.  It is probable he will attempt to pass for a free man by the name of Jim Houser, as one Mr. Houser raised him at the Moravian Towns in this state. Whoever will apprehend said fellow and secure him in any jail, so that I can get him again, shall be entitled to the above reward, and if brought to me at this place, shall be paid the sum of Ten Pounds.  All persons are forewarned harboring said fellow, or taking him out of the state. JOHN DICKSON Fayetteville, June 9th, 1796",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1947.jpg,1947,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1947
Fifteen dollars reward,1798-01-18,1797-12-16,"Chowan County, NC",Edenton,"Norfolk, VA",Edenton,State Gazette of North Carolina,Isaac,Elisha Norfleet,Elisha Norfleet,"FIFTEEN DOLLARS REWARD RUN away from the Subscriber, in Edenton, on the 16th ult. a Negro Man named ISAAC, about 33 years old, stout made, broad face, and a little yellowish, his under lip is thick and hangs down, when he is alarmed or goes to speak quick, he is apt to stammer, and answeres[sic] yes, without the sir; had on when he ranaway a round blue jacket lined with Osnabergs, and blue trowsers, ribbed yarn stockings, and took with him a blue great coat, two new shirts of ticklenburg.  He can work a little at the shoe making business, and has been a voyage or two to sea; it is likely he has a free pass, and will endeavour to get to Norfolk, or on board of some vessel bound to the northward.  The above reward will be given on his delivery to me in Edenton, and all reasonable expences, should he be taken any distance from here.  All persons are forewarned from harbouring or employing him in any manner whatever and all masters of vessels from carrying him off, under the penalty of the law. ELISHA NORFLEET. Edenton, January 26th, 1798",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1089.jpg,1089,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1089
Five dollars reward,1798-02-08,1798-01-29,"Orange County, NC",Hillsborough,"Wilmington, NC",Wilmington,Hall's Wilmington Gazette,Sally,Richard Quince,Richard Quince,"Five Dollars Reward. RAN away from the subscriber, the 29th of January, a Negro Wench named SALLY, about 30 years of age. She has always attended about the house, has a husband belonging to Mrs. Ann Quince of Wilmington, named Virgil, by whom she will no doubt be harboured in or about town. Whoever will secure the said wench in Wilmington jail, or deliver her to the subscriber at Moorfields, shall receive the above reward, and reasonable expences paid. RICHARD QUINCE. February 8. 58[?]",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1237.jpg,1237,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1237
